"Route","Bike","Location","Start Time","Time (secs)","Stopped Time (secs)","Distance (km)","Average Speed (km/h)","Fastest Speed (km/h)","Ascent (metres)","Average Heart Rate (bpm)","Maximum Heart Rate (bpm)","Average Cadence (rpm)","Maximum Cadence (rpm)"
"",Ghost,"","2014-09-18 19:42:28",10217,3848,53.45,18.83,37.8,946,"","",58,146
"",Ghost,Anyangsi,"2014-09-20 16:32:35",6669,10626,31.42,16.96,46.51,434,"","",52,145
"",Ghost,Anyangsi,"2014-09-21 07:33:31",17379,16723,101.32,20.99,47.9,570,"","",61,125
"",Ghost,Pyeongchanggun,"2014-10-03 14:32:04",5047,7935,16.33,11.65,28.88,479,"","",30,143
"",Ghost,Anyangsi,"2014-10-04 06:43:56",14452,29084,66.82,16.65,31.52,1031,"","",24,106
"",Ghost,Chuncheonsi,"2014-10-05 11:19:54",14118,12113,78.0,19.89,42.21,579,"","",49,147
"",Ghost,Gimposi,"2014-10-09 14:43:51",10120,4302,52.61,18.72,41.24,315,"","",52,149
"",Ghost,Anyangsi,"2014-10-11 08:30:40",10704,9641,64.32,21.63,35.54,558,"","",64,142
"",Ghost,Anyangsi,"2014-10-12 20:14:02",7835,1222,41.98,19.29,38.04,297,"","",62,127
"",Ghost,"","2014-10-14 20:16:38",373,145,1.26,12.14,17.08,46,"","",36,150
"",Ghost,Gwacheonsi,"2014-10-15 18:46:23",6932,4820,41.38,21.49,34.16,372,"","",57,138
"",Ghost,"아산시","2014-10-26 09:30:12",11498,13170,61.22,19.17,38.04,532,"","",53,127
"","","","2014-10-26 09:32:33",11483,12941,57.07,17.89,33.97,319,"","",53,106
"",Ghost,"서초구","2014-10-26 20:17:58",764,338,2.85,13.43,30.55,71,"","",45,109
"",Ghost,"연천군","2014-11-01 10:07:19",8961,8416,28.72,11.54,27.07,993,"","",42,110
"",Ghost,"안양시","2014-11-08 08:02:16",8204,4033,41.43,18.18,33.32,321,"","",53,121
"",Ghost,"중구","2014-11-09 08:03:19",25055,19534,22.6,3.25,38.74,630,"","",47,136
"",Ghost,"수원시","2014-11-11 18:02:42",200,938,0.54,9.75,181.47,55,"","",15,114
"",Ghost,"군포시","2014-11-16 07:39:12",6847,5361,25.01,13.15,387.66,805,"","",41,114
"",Ghost,"군포시","2014-11-16 13:26:31",2839,706,10.09,12.8,46.24,355,"","",45,125
"",Ghost,"연수구","2014-12-13 10:25:31",7471,13462,29.28,14.11,193.83,358,"","",43,149
"",Ghost,"파주시","2014-12-27 11:16:55",684378,877,8.65,0.05,27.49,86,"","","",122
"",Ghost,"과천시","2015-01-04 09:38:08",12241,8321,69.58,20.46,34.71,437,"","",55,150
"",Ghost,"안양시","2015-01-10 09:29:55",13760,3422,73.3,19.18,32.77,286,"","",57,106
"",Ghost,"과천시","2015-01-17 07:54:52",1607,4538,8.73,19.56,30.41,165,"","","",81
"",Ghost,"안양시","2015-01-18 12:40:11",11913,3658,60.78,18.37,31.8,545,"","",33,94
"",Ghost,"","2015-01-24 08:26:12",7230,514,39.33,19.59,33.18,20,"","",66,128
"",Ghost,"","2015-01-24 15:40:13",4002,1979,22.33,20.09,33.18,0,"","",65,137
"",Ghost,"서초구","2015-02-08 09:32:37",8329,2139,38.39,16.59,44.91,721,"","","",""
"",Ghost,"","2015-02-15 10:08:46",17489,16167,86.0,17.7,38.88,1258,"","","",""
"",Ghost,"안양시","2015-03-28 15:39:25",2819,257,1.43,1.83,34.57,193,"","",14,84
"",Ghost,"안양시","2015-03-28 16:44:22",333,1360,0.92,9.96,15.27,164,"","","",88
"",Ghost,"춘천시","2015-03-29 09:32:58",11469,27926,53.82,16.89,33.18,771,"","","",""
"","Santa Cruz","안양시","2015-03-30 19:46:10",7331,1296,39.73,19.51,39.02,204,"","","",""
"","Santa Cruz","과천시","2015-04-01 17:51:46",8761,4188,47.7,19.6,30.92,357,"","","",""
"","Santa Cruz","양평군","2015-04-05 10:34:40",20702,220,14.99,2.61,38.47,816,"","","",""
"","Santa Cruz","안양시","2015-04-06 20:01:41",7201,1330,31.76,15.88,26.89,470,"","","",""
"","Santa Cruz","안양시","2015-04-07 20:17:38",6813,1233,27.55,14.56,28.63,479,"","","",""
"","Santa Cruz","안양시","2015-04-09 20:10:01",6825,931,26.9,14.19,29.88,466,"","","",""
"","Santa Cruz","과천시","2015-04-11 12:35:02",2269,2781,7.65,12.14,23.78,331,"","","",""
"","Santa Cruz","시흥시","2015-04-12 13:11:16",3945,1548,16.5,15.05,28.01,99,"","","",""
"","Santa Cruz","안양시","2015-04-15 20:25:17",6543,922,26.18,14.4,28.38,473,"","","",""
"","Santa Cruz","안양시","2015-04-16 20:17:51",4903,1103,20.1,14.76,27.64,264,"","","",""
"","Santa Cruz","안양시","2015-04-21 19:53:18",6069,1209,27.73,16.45,31.49,364,"","","",""
"","Santa Cruz","안양시","2015-04-24 19:10:04",4773,2475,18.82,14.19,24.03,353,"","","",""
"","Santa Cruz","안양시","2015-04-26 10:47:42",9661,8242,41.87,15.6,46.43,872,"","","",""
"","Santa Cruz","안양시","2015-04-27 19:48:32",6681,1498,27.65,14.9,30.5,413,"","","",""
"","Santa Cruz","안양시","2015-04-30 18:18:00",11335,8394,60.6,19.25,36.1,774,"","","",""
"","Santa Cruz","속초시","2015-05-01 14:19:55",559,1807,2.6,16.78,21.0,102,"","","",""
"","Santa Cruz","속초시","2015-05-01 16:18:54",147,309,0.16,3.97,9.24,0,"","","",""
"","Santa Cruz","양양군","2015-05-02 11:42:35",10041,2153,44.06,15.8,31.59,362,"","","",""
"","Santa Cruz","양평군","2015-05-05 09:43:56",27,513,0.08,10.87,2.71,12,"","","",""
"","Santa Cruz","안양시","2015-05-07 20:18:04",5240,2191,20.56,14.13,29.49,683,"","","",""
"","Santa Cruz","안양시","2015-05-10 16:35:18",7627,4817,38.34,18.1,29.25,318,"","","",""
