No,Date,Route,Bike,Location,Distance(km),RideTime,AvgSpeed(km/h),MaxSpeed(km/h),AvgHR,MaxHR,MaxCadence,GPSPoints
1,2014-09-18 10:42,Ghost,Ghost,,53.45,2:50:17,18.8,37.8,,,146,0
2,2014-09-20 07:32,Anyangsi,Ghost,Anyangsi,31.42,1:51:09,17.0,46.5,,,145,953
3,2014-09-20 22:33,Anyangsi,Ghost,Anyangsi,101.32,4:49:39,21.0,47.9,,,125,3051
4,2014-10-03 05:32,Pyeongchanggun,Ghost,Pyeongchanggun,16.33,1:24:07,11.6,28.9,,,143,460
5,2014-10-03 21:43,Anyangsi,Ghost,Anyangsi,66.82,4:00:51,16.6,31.5,,,106,2271
6,2014-10-05 02:19,Chuncheonsi,Ghost,Chuncheonsi,78.00,3:55:17,19.9,42.2,,,147,2075
7,2014-10-09 05:43,Gimposi,Ghost,Gimposi,52.61,2:48:39,18.7,41.2,,,149,1318
8,2014-10-10 23:30,Anyangsi,Ghost,Anyangsi,64.32,2:58:23,21.6,35.5,,,142,1869
9,2014-10-12 11:14,Anyangsi,Ghost,Anyangsi,41.98,2:10:35,19.3,38.0,,,127,1102
10,2014-10-15 09:46,Gwacheonsi,Ghost,Gwacheonsi,41.38,1:55:32,21.5,34.2,,,138,1298
11,2014-10-26 00:30,아산시,Ghost,아산시,61.22,3:11:38,19.2,38.0,,,127,1608
12,2014-10-26 00:32,Cyclemeter,,,57.07,3:11:23,17.9,34.0,,,106,5748
13,2014-11-01 01:07,연천군,Ghost,연천군,28.72,2:29:21,11.5,27.1,,,110,958
14,2014-11-07 23:02,안양시,Ghost,안양시,41.43,2:16:43,18.2,33.3,,,121,1280
15,2014-11-08 23:03,중구,Ghost,중구,22.60,6:57:35,3.2,38.7,,,136,2056
16,2014-11-15 22:39,군포시,Ghost,군포시,25.01,1:54:07,13.1,387.7,,,114,679
17,2014-11-16 04:26,군포시,Ghost,군포시,10.09,0:47:19,12.8,46.2,,,125,275
18,2014-12-13 01:25,연수구,Ghost,연수구,29.28,2:04:31,14.1,193.8,,,149,896
19,2014-12-27 02:16,파주시,Ghost,파주시,8.65,190:06:18,0.0,27.5,,,122,214
20,2015-01-04 00:38,과천시,Ghost,과천시,69.58,3:24:00,20.5,34.7,,,150,1905
21,2015-01-10 00:29,안양시,Ghost,안양시,73.30,3:49:19,19.2,32.8,,,106,1853
22,2015-01-16 22:54,과천시,Ghost,과천시,8.73,0:26:47,19.6,30.4,,,81,727
23,2015-01-18 03:40,안양시,Ghost,안양시,60.78,3:18:32,18.4,31.8,,,94,1505
24,2015-01-23 23:26,Ghost,Ghost,,39.33,2:00:29,19.6,33.2,,,128,56
25,2015-01-24 06:40,Ghost,Ghost,,22.33,1:06:41,20.1,33.2,,,137,0
26,2015-02-08 00:32,서초구,Ghost,서초구,38.39,2:18:49,16.6,44.9,,,,1150
27,2015-02-15 01:08,Ghost,Ghost,,86.00,4:51:29,17.7,38.9,,,,0
28,2015-03-29 00:32,춘천시,Ghost,춘천시,53.82,3:11:08,16.9,33.2,,,,1704
29,2015-03-30 10:46,안양시,Santa Cruz,안양시,39.73,2:02:10,19.5,39.0,,,,904
30,2015-04-01 08:51,과천시,Santa Cruz,과천시,47.70,2:26:01,19.6,30.9,,,,1234
31,2015-04-05 01:34,양평군,Santa Cruz,양평군,14.99,5:45:02,2.6,38.5,,,,1683
